Myanmar	Type	English
စိတ္ သေဘာထားရိွေသာ	_natured (forming compound adjs)	adj
good -natuerd.	_natured (forming compound adjs)	adj
..ေသာ ႏွာေခါင္း	_nosed	(forming c
ကပိုင္ဆိုင္သူဧကဝုစ္ျဖစ္ေၾကာင္းျပေနာက္ဆက္	-'s	suff
ခတစ္စံုတစ္ခုေသာအိမ္၊ဆိုင္စသည္သက္ဆိုင္မႈျပေနာက္ဆက္	-'s	suff
ႏွင့္အဆံုးမသတ္ေသာဗဟုဝုစ္နာမ္မ်ားတြင္ပိုင္ဆိုင္မႈ၊သက္ဆိုင္မႈကိုျပေနာက္ဆက္	-'s	suff
ရံဖန္ရံခါတြင္ဗဟုဝုစ္ကိန္းသို႕နာမ္ဖန္တီးရန္ထည့္သည့္ေနာက္ဆက္	-'s	suff
အစားအတိုေကာက္	-'s	suff
ႏွင့္္ကိုကိုယ္စားျပဳသည့္ေနာက္ဆက္	-'s	suff
ေရွ႕ေဖာ္ျပပါ ပုဂၢိဳလ္၊ ေဒသ စသည္တို႕ႏွင့္ တစု တေပါင္းတည္း ျဖစ္ေသာ အရာဝတၳဳ၊ ပစၥည္းကို ျပေသာ ေနာက္ဆက္စကား	-ana	suff
ႀကိယာကို နာမ္ပုဒ္ေျပာင္းေပးေသာ ေနာက္ဆက္	-ance	suff
… ျခင္း၊ … မႈ စသည္	-ance	suff
သတ္မႈႏွင့္ ဆိုင္ေသာ	-cidal	coidmb
သတ္ျဖတ္ျခင္း၊ သတ္မႈ	-cide	coidmb
သတ္သည့္သူ	-cide	coidmb
သတ္သည့္အရာ	-cide	coidmb
သတ္ေဆး	-cide	coidmb
အစိုးရ	-cracy	coidmb
အုပ္ခ်ဳပ္ေရး	-cracy	coidmb
စနစ္၊ အစိုးရကို ေထာက္ခံ သူ	-crat	coidmb
နာမ္ကို နာမဝေသသနပုဒ္အျဖစ္ ဖန္တီး ေပးေသာ ေနာက္ဆက္	-en	suff
ျဖင့္လုပ္ေသာ	-en	suff
ျဖစ္ေသာ	-en	suff
နာမဝေသသနကို ႀကိယာပုဒ္အျဖစ္ ဖန္တီး ေပးေသာ ေနာက္ဆက္	-en	suff
လုပ္သည္	-en	suff
ျဖစ္ေစသည္	-en	suff
ႀကိယာကို နာမ္ပုဒ္ေျပာင္းေပးေသာ ေနာက္ဆက္	-ence	suff
… ျခင္း၊ … မႈ စသည္	-ence	suff
ဟန္ရိွေသာ	-esque	suff
ပံု ေပါက္ေသာ	-esque	suff
ဣတၳိလိင္ျပေနာက္ဆက္	-ess	suff
မ	-ess	suff
အသာလြန္ဆံုး နာမဝေသသနျပ ေနာက္ဆက္	-est	suff
ဆံုး	-est	suff
အငယ္ေလး	-ette	suff
အေသးေလး	-ette	suff
ပစၥည္း အတု	-ette	suff
အမ်ိဳးသမီး	-ette	suff
တစ္ဦးဆိုင္နာမ္မ်ားႏွင့္ ေပါင္းစပ္ျခင္းျဖင့္ ns ႏွင့္ adjs  သို႕ ေျပာင္းေပးသည့္ ေနာက္ဆက္စကား	-ian	suff
-ics အဆံုးရိွေသာ နာမ္မ်ားႏွင့္ ေပါင္းစပ္ျခင္းျဖင့္ ns သို႕ ေျပာင္းေပးသည့္ ေနာက္ဆက္စကား	-ian	suff
ေရွ႕ေဖာ္ျပပါ ပုဂၢိဳလ္၊ ေဒသ စသည္တို႕ႏွင့္ တစု တေပါင္းတည္း ျဖစ္ေသာ အရာဝတၳဳ၊ ပစၥည္းကို ျပေသာ ေနာက္ဆက္စကား	-iana	suff
ေဆးပညာတစ္ခုခုႏွင့္ သက္ဆိုင္ ေၾကာင္းျပသည့္ ေနာက္ဆက္စကား	-iatrics	coidmb
ေဆးကုသမႈနည္းတစ္ခုခုႏွင့္သက္ဆိုင္ေၾကာင္း ျပသည့္ ေနာက္ဆက္စကား	-iatry	coidmb
ns ကို adjs ႏွင့္  ns  သို႕ ေျပာင္းေပးသည့္ ေနာက္ဆက္စကား	-ic	suff
တစ္စံုတစ္ခုႏွင့္ သက္ဆိုင္ေသာ၊ ဆန္ေသာ၊ ရိွေသာ၊ ျဖစ္ေသာ	-ic	suff
y အဆံုး ရိွေသာ vs  ကို adjs သို႕ ေျပာင္းေပးသည့္ ေနာက္ဆက္စကား	-ic	suff
ဂုဏ္သတၱိ တစ္စံုတစ္ရာ ရိွေသာ	-ic	suff
ေကာင္းေသာ	-ical	suff
…ဆန္ဆန္	-ically	suff
နာမ္ျပဳပစၥည္း	-ics	suff
chemistry နာမ္ျပဳပစၥည္း	-ide	suff
ဓာတ္တစ္မ်ိဳးမ်ိဳး၏ ဓာတ္ေပါင္း အမည္	-ide	suff
forming compound adjs … ရွည္လ်ားေသာ	-length	adj
…အထိရွည္ေသာ	-length	adj
ကင္းမဲ့လ်က္	-lessly	adv
ေျခဆံ လက္ဆံ ရွည္ေသာ၊ ေပ်ာ့ေပ်ာင္းေသာစသည္	-limbed	n
နာမဝေသသနမွ ႀကိယာဝေသသနသို႕ ေျပာင္းရာတြင္ ေနာက္ဆက္	-ly	suff
နာမ္မွ နာမဝေသန သို႕ ေျပာင္းရာတြင္ေနာက္ဆက္	-ly	suff
နာမ္မွ နာမဝေသသနႏွင့္ ႀကိယာဝေသသနသို႕ ေျပာင္းရာတြင္ ေနာက္ဆက္	-ly	suff
…သား	-man	coidmb
…သမား၊ေစာင့္၊မႉးစသည္	-man	coidmb
